name,force,lvl,subtype,text,skill,art
Bottom Dweller,2,1,Ghost,{trigger:enter} Discard up to 2 cards from your hand.,,bottomDweller.png
Twisted Golem,0,1,Ghost Golem,"{key:effect}
{trigger:perish} You gain LVL equal to this card's LVL.",,twistedGolem.png
Ghost Spellcaster,0,1,Ghost Wizard,,"{skill: Death Magic} Shuffle your discard pile and look at the top 3 cards. If at least 1 spell is within the 3 cards, add 1 to your hand and sacrifice Ghost Spellcaster.",ghostSpellcaster.png
Jester,1,1,Ghost,"If jester were to enter your discard, you may setit. If Jester is set this way, deal 1 damage to all opponents.
{trigger:perish} Shuffle Jester into your deck.",,jester.png
Blue Star,1,1,Celestial,,"{key:instant}
{skill:Blue Giant} Search your deck for a Celestial or God. Reveal it, then add it to your hand.",blueStar.png
Red Star,1,1,Celestial,,"{key:instant}
{skill:Red Dwarf} Add a Celestial or God from your discard to your hand.",redStar.png
Woman from Venus,1,1,Celestial,"Woman From Venus has {key:Quick} when attacking. If Woman From Venus were to enter your void, you may set it instead as {force:3}.",,venusWoman.png
Evil Egg,0,1,Monster Object,"{key:effect, Static}
{trigger:perish} Search your deck for a unit. Reveal it, then add it to your hand. You cannot play it this turn.",,crackedEgg.png
Flying Cube,1,1,Golem Monster,"{key:Flying}
Gain {force:1} when a unit is played in your back row.",,flyingCube.png
Puss Beast,1,1,Monster,,"{key:effect}
{skill:Congeal} Other Monster cards you control gain {force:2} until the end of the turn.",pussBeast.png
Lesser Crow,0,1,Crow,,"{skill:Flock} Search your deck for a Crow. Reveal it, then add it to your hand.",LesserCrow.png
Skeleton,3,1,Monster,"{key:Muted, Bleed, Fragile}
If Skeleton has at least {force:5}, remove {key:fragile}.",,Skeleton.png
Soul Lantern,0,1,Magic Object,"Whenever a non-token unit perishes, add a soul counter and attach the top card of your deck to Soul Lantern.
{trigger:perish} Add attached cards to your hand.",,soulLantern.png
Mimic,0,1,Shapeshifter,"{key:effect, static}
{trigger:perish} The player who destroyed this card draws 2 cards.",,mimic.png
Marlita Gray,1,1,Marlita,"{key:static}
{cost:Can only be played once per turn.}",{skill:Beckoning} Return Coming of Marlita from your discard pile to your hand: return Marlita Gray to your hand.,marlitaGray.png
Marlita Black,1,1,Marlita,"{key:Bleed}
Whenever Marlita Black declares an attack, choose a player. That player discards cards from the top of their deck or hand up to Marlita Black's {force:?}.",,marlitaBlack.png
Marlita Red,1,1,Marlita,"{trigger:enter} Discard a card from your hand.
{trigger:begin} Units you control gain {force:1}.",,marlitaRed.png
Grub,2,1,Bug,,"{key:effect}
{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Grub.",grub.png
Roller,1,1,Bug,"When Roller enters your front row, deal 1 damage to the opposing card. If Roller enters the discard you may move your cards.",,roller.png
Hematem,1,1,Monster,{trigger:enter} Gain {force:1} for ever other monster card you control.,,hematem.png
Cockroach,2,1,Bug,,"{key:muted, warden}
{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Cockroach.",cockroach.png
Blood Rock,1,1,Shapeshifter,"{key:Bleed}
Units you control with {key:bleed} deal 1 extra combat damage to the opponent.",,bloodRock.png
Smoke Beetle,1,1,Dark Bug,"If Smoke Beetle enters your discard, you may recycle your deck.",{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Smoke Beetle.,smokeBeetle.png
Void Crawler,2,1,Celestial Bug,"When Void Crawler enters your discard, you may use {skill:void talk}. For each card voided: deal 1 damage to target card your opponent controls.",{skill:void talk} Void up to 1 card from your deck and up to 1 card from your hand.,voidCrawler.png
Pixie,1,1,Magic,Other Magic cards you control have +{force:1}.,"{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",pixie.png
Sand Cube,0,1,Magic Golem,"{key:fragile, warden}
{trigger:perish} If Sand Cube moved to block a unit, the blocked unit gins {key:fragile}.",,sandCube.png
Building Boulder,2,1,Golem,"{key:effect, warden}
{trigger:end} You gain 1 LVL.",,buildingBoudler.png
Marlita Teal,1,2,Marlita,"When a non-token unit you control perishes, give {force:1} to a card you control until the end of the turn.
{trigger:enter} Discard the top 3 cards of your deck.",,marlitaTeal.png
Marlita Blue,0,2,Marlita,"When a front row card you control perishes, you may discard the top 5 cards of your deck (must be able to discard 5). If you do, return the card that perished to your hand. You cannot play it this turn.",,marlitaBlue.png
Marlita Yellow,1,2,Marlita,"{key:Static, muted}
{trigger:breach} The opponent breached discards cards from the top of their deck equal to Marlita Yellow's {force:?}
{trigger:enter} Discard the top 5 cards of your deck.",,marlitaYellow.png
Ash Moth,1,2,Old Bug,"{key:Fragile}
{trigger:begin} Deal 1 damage to an opponent.",{fskill:Ash Shower} Create a {force:0} clone of Ash Moth in the same row as this card.,ashMoth2.png
Drill Master,2,2,Magic Golem,Drill Master always destroys Icons in combat.,"{fskill:To The Bottom} Discard the top card of your deck. If the card discarded is an Icon, become inactive then set it if able.",drillMaster.png
Last Mass,0,2,Magic Ghost,"{key:static}
Gain {force:1} when a card enters your discard.",{skill:suspension} Discard a card from your hand: draw a card.,lastMass.png
Mortality Agent,1,2,Ghost,"{trigger:cast} Both players reveal the top card of their deck and add it to their hand. If you draw a Ghost card, you may draw an additional card.",,mortalityAgent.png
Clone Element,2,2,Celestial Bug,"Clone Element has {key:Quick} when attacking.
{trigger:victor} Gain {force:2}.",{skill:Clone Trick} Clone this card. Clones do not have Clone Trick.,cloneElement.png
Artistic Golem,1,2,Golem,"{trigger:enter} Create a Pillar {force:2}/{key:Delayed, Muted, Warden} Token if able.",,artistiGolem.png
Spooked Golem,1,2,Magic Golem,"{trigger:enter} Shuffle a unit your opponent controls into their deck.
{trigger:end} Shuffle Spooked Golem into your deck.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",spookedGolem.png
Greater Crow,2,2,Crow,,"{key:Delayed}
{skill:Gathering} Create up to 2 Crow {force:1} tokens.",GreaterCrow.png
Homunculus,2,2,Monster,"{key:static}
When you draw a card, add a matter counter to Homunculus.",{fskill:Surge} Remove a matter counter: Gain {force:1} or deal 1 damage to a target card.,homunculus.png
Lonely Drone,1,2,Bug,,{skill:Friendship} Target unit gains {force:?} equal to Lonely Drone's {force:?}.,lonelyDrone.png
Red Imp,1,2,Monster,{trigger:breach} You gain LVL equal to the damage dealt. You may move Red Imp to an open back zone.,,redImp.png
Green Imp,1,2,Monster,{trigger:breach} Target card you control gains {force:?} equal to the damage dealt. You may move Green Imp to an open back zone.,,greenImp.png
Blue Imp,1,2,Monster,{trigger:breach} Target player discards cards from the top of their deck up to the damage dealt (you choose the amount discarded). You may move Blue Imp to an open back zone.,,blueImp.png
Shelled Fiend,2,2,Dark Bug,"If Shelled Fiend enters the discard, give {key:immortal} to a unit you control until the start of your next turn.","{skill:Dig} Search your deck for a Bug, and send it to your discard pile or sacrifice Shelled Fiend.",shelledFiend.png
Secret Wizard,2,2,Dark Wizard,,"{skill:Magician} Create a Magic {force:?} token with {force:?} equal to the number of spells in your discard. If the token has more than {force:3}, it is {key:delayed}.",secretWizard.png
Arbiter,2,2,Object Monster,"{key:quick}
{trigger:victor} Add 1-3 Soul counters to Arbiter.","{skill: Self Search} Search your deck for a card with LVL equal to the amount of soul counters on Arbiter. Reveal it, then add it to your hand.",arbiter.png
Slumbering Titan,8,2,Golem God,"{key:immortal}
{trigger:enter} Add 2 stun counters to Slumbering Titan.",,slumberingTitan.png
Fungal Guardian,2,2,Plague Warrior,"{key:warden}
{trigger:perish} Cards your opponent controls gain {key:sick}.",,fungalGuardian.png
Banish Watcher,2,2,Celestial,"{key:warden}
When a card enters your void target unit you control gains {force:1}.",,banishWatcher.png
Specter Cube,0,2,Magic Ghost,"{key:fragile}
Other units you control in the same row as Specter Cube have +{force:?} equal to Specter Cube's {force:?}.",,specterGhost.png
Rain Demon,1,2,Monster,,{skill:downpour} Discard 2 cards from your hand: deal damage to a front row card in play equal to the lowest LVL of the cards discarded.,rainDemon.png
