Copies,Nickname,name,name style,force,lvl,subtype,text,skill,skill style,art,card_background,card_background style,shadows,shadows style,rarity,Column 1
1,bottomDweller,Bottom Dweller,,2,1,Ghost,{trigger:enter} Discard up to 2 cards from your hand.,,,bottomDweller.png,,,,,.b,
1,twistedGolem,Twisted Golem,,0,1,Ghost Golem,"{key:effect}
{trigger:perish} You gain LVL equal to this card's LVL.",,,twistedGolem.png,,,,,.b,
1,gSpellcaster,Ghost Spellcaster,rrare,0,1,Ghost Wizard,,"{skill: Death Magic} Shuffle your discard pile and look at the top 3 cards. If at least 1 spell is within the 3 cards, add 1 to your hand and sacrifice Ghost Spellcaster.",,ghostSpellcaster.png,,"{background:rgba(78, 28, 98, 1)}",,,.r,
1,jester,Jester,,1,1,Ghost,"If jester were to enter your discard, you may setit. If Jester is set this way, deal 1 damage to all opponents.
{trigger:perish} Shuffle Jester into your deck.",,,jester.png,,,,,.b,
1,blueStar,Blue Star,,1,1,Celestial,,"{key:instant}
{skill:Blue Giant} Search your deck for a Celestial or God. Reveal it, then add it to your hand.",,blueStar.png,,,,{mixBlendMode:difference},.b,
1,redStar,Red Star,,1,1,Celestial,,"{key:instant}
{skill:Red Dwarf} Add a Celestial or God from your discard to your hand.",,redStar.png,,,,{mixBlendMode:difference},.b,
1,venus,Woman from Venus,,1,1,Celestial,"Woman From Venus has {key:Quick} when attacking. If Woman From Venus were to enter your void, you may set it instead as {force:3}.",,,venusWoman.png,,,,,.b,
1,evilEgg,Evil Egg,,0,1,Monster Object,"{key:effect, Static}
{trigger:perish} Search your deck for a unit. Reveal it, then add it to your hand. You cannot play it this turn.",,,crackedEgg.png,,,,,.b,
1,flyingCube,Flying Cube,,1,1,Golem Monster,Gain {force:1} when a unit is played in your back row.,,,flyingCube.png,,,,,.b,
1,pussBeast,Puss Beast,,1,1,Monster,,"{key:effect}
{skill:Congeal} Other Monster cards you control gain {force:2} until the end of the turn.",,pussBeast.png,,,,"{outlineColor:rgba(205, 234, 230, 1)}
{mixBlendMode:color-dodge}",.b,
1,lesserCrow,Lesser Crow,,0,1,Crow,,"{skill:Flock} Search your deck for a Crow. Reveal it, then add it to your hand.",,LesserCrow.png,,,,,.b,
1,skeleton,Skeleton,,3,1,Monster,"{key:Muted, Bleed, Fragile}
If Skeleton has at least {force:5}, remove {key:fragile}.",,,Skeleton.png,,,,,.b,
1,soulLantern,Soul Lantern,,0,1,Magic Object,"Whenever a non-token unit perishes, add a soul counter and attach the top card of your deck to Soul Lantern.
{trigger:perish} Add attached cards to your hand.",,,soulLantern.png,,,,,.b,
1,mimic,Mimic,rrare,0,1,Shapeshifter,"{key:effect, static}
{trigger:perish} The player who destroyed this card draws 2 cards.",,,mimic.png,,"{background:rgba(193, 115, 130, 1)}",,,.r,
1,marlitaGray,Marlita Gray,,1,1,Marlita,"{key:static}
Marlita Gray can only be played once per turn.",{skill:Beckoning} Return Coming of Marlita from your discard pile to your hand: return Marlita Gray to your hand.,,marlitaGray.png,,,,,.b,
1,marlitaBlack,Marlita Black,,1,1,Marlita,"{key:Bleed}
Whenever Marlita Black declares an attack, choose a player. That player discards cards from the top of their deck or hand up to Marlita Black's {force:?}.",,,marlitaBlack.png,,,,,.b,
1,marlitaRed,Marlita Red,,1,1,Marlita,"{trigger:enter} Discard a card from your hand.
{trigger:begin} Units you control gain {force:1}.",,,marlitaRed.png,,,,,.b,
1,grub,Grub,,2,1,Bug,,"{key:effect}
{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Grub.",,grub.png,,,,,.b,
1,roller,Roller,,1,1,Bug,"When Roller enters your front row, deal 1 damage to the opposing card. If Roller enters the discard you may move your cards.",,,roller.png,,,,,.b,
1,hematem,Hematem,,1,1,Monster,{trigger:enter} Gain {force:1} for ever other monster card you control.,,,hematem.png,,,,,.b,
1,cockroach,Cockroach,,2,1,Bug,,"{key:muted, warden}
{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Cockroach.",,cockroach.png,,,,,.b,
1,bloodRock,Blood Rock,,1,1,Shapeshifter,"{key:Bleed}
Units you control with {key:bleed} deal 1 extra combat damage to the opponent.",,,bloodRock.png,,,,,.b,
1,smokeBeet;e,Smoke Beetle,,1,1,Dark Bug,"If Smoke Beetle enters your discard, you may recycle your deck.",{skill:Dig} Search your deck for a Bug and send it to your discard pile or sacrifice Smoke Beetle.,,smokeBeetle.png,,,,,.b,
1,voidCrawler,Void Crawler,rrare,2,1,Celestial Bug,"When Void Crawler enters your discard, you may use {skill:void talk}. For each card voided: deal 1 damage to target card your opponent controls.",{skill:void talk} Void up to 1 card from your deck and up to 1 card from your hand.,,voidCrawler.png,,"{background:rgba(88, 129, 154, 1)}",,,.r,
1,,Pixie,,1,1,Magic,Other Magic cards you control have +{force:1}.,"{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",,pixie.png,,,,,.b,
1,,Sand Cube,,0,1,Magic Golem,"{key:fragile, warden}
{trigger:perish} If Sand Cube moved to block a unit, the blocked unit gins {key:fragile}.",,,sandCube.png,,,,,,
1,,Building Boulder,,2,1,Golem,"{key:effect, warden}
{trigger:end} You gain 1 LVL.",,,buildingBoudler.png,,,,,,
1,marlitaTeal,Marlita Teal,,1,2,Marlita,"When a non-token unit you control perishes, give {force:1} to a card you control until the end of the turn.
{trigger:enter} Discard the top 3 cards of your deck.",,,marlitaTeal.png,,,,,.b,
1,marlitaBlue,Marlita Blue,,0,2,Marlita,"When a front row card you control perishes, you may discard the top 5 cards of your deck (must be able to discard 5). If you do, return the card that perished to your hand. You cannot play it this turn.",,,marlitaBlue.png,,,,,.b,
1,marlitaYellow,Marlita Yellow,,1,2,Marlita,"{key:Static, muted}
{trigger:breach} The opponent breached discards cards from the top of their deck equal to Marlita Yellow's {force:?}
{trigger:enter} Discard the top 5 cards of your deck.",,,marlitaYellow.png,,,,,.b,
1,ashMoth,Ash Moth,,1,2,Old Bug,"{key:Fragile}
{trigger:begin} Deal 1 damage to an opponent.",{fskill:Ash Shower} Create a {force:0} clone of Ash Moth in the same row as this card.,]fskill,ashMoth2.png,,,,"{mixBlendMode:exclusion}
{outlineColor:rgba(255, 255, 255, 1)}",.b,
1,drillMaster,Drill Master,,2,2,Magic Golem,Drill Master always destroys Icons in combat.,"{fskill:To The Bottom} Discard the top card of your deck. If the card discarded is an Icon, become inactive then set it if able.","{background:linear-gradient(45deg, rgba(22, 169, 143, 1) 0%, rgba(0, 66, 90, 0.6) 78%) no-repeat 50% 50% / 100% 100%}
{color:rgba(255, 255, 255, 1)}",drillMaster.png,,,,,.b,
1,lastMass,Last Mass,superRare,0,2,Magic Ghost,"{key:static}
Gain {force:1} when a card enters your discard.",{skill:suspension} Discard a card from your hand: draw a card.,,lastMass.png,,"{background:linear-gradient(180deg, rgba(48, 54, 68, 1) 0%, rgba(183, 185, 211, 1) 100%)}",,,.sr,
1,mortalityAgent,Mortality Agent,rrare,1,2,Ghost,"{trigger:cast} Both players reveal the top card of their deck and add it to their hand. If you draw a Ghost card, you may draw an additional card.",,,mortalityAgent.png,,"{background:rgba(255, 255, 255, 1)}",,,.r,
1,cloneElement,Clone Element,superRare,2,2,Celestial Bug,"Clone Element has {key:Quick} when attacking.
{trigger:victor} Gain {force:2}.",{skill:Clone Trick} Clone this card. Clones do not have Clone Trick.,,cloneElement.png,,"{background:linear-gradient(180deg, rgba(165, 189, 173, 1) 0%, rgba(123, 74, 99, 1) 100%)}",,"{mixBlendMode:color-dodge}
{outlineColor:rgba(165, 189, 173, 1)}",.sr,
1,artisticGolem,Artistic Golem,,1,2,Golem,"{trigger:enter} Create a Pillar {force:2}/{key:Delayed, Muted, Warden} Token if able.",,,artistiGolem.png,,,,,.b,
1,spookedGolem,Spooked Golem,,1,2,Magic Golem,"{trigger:enter} Shuffle a unit your opponent controls into their deck.
{trigger:end} Shuffle Spooked Golem into your deck.","{skill:Magic Link} Search your deck for a card with {skill:Magic Link} and reveal it, or set a card from your hand with {skill:Magic Link}.",,spookedGolem.png,,,,,.b,
1,greaterCrow,Greater Crow,,2,2,Crow,,"{key:Delayed}
{skill:Gathering} Create up to 2 Crow {force:1} tokens.",,GreaterCrow.png,,,,,.b,
1,homunculus,Homunculus,rrare,2,2,Monster,"{key:static}
When you draw a card, add a matter counter to Homunculus.",{fskill:Surge} Remove a matter counter: Gain {force:1} or deal 1 damage to a target card.,]fskill,homunculus.png,,"{background:rgba(35, 79, 72, 1)}",,,.r,
1,lonelyDrone,Lonely Drone,,1,2,Bug,,{skill:Friendship} Target unit gains {force:?} equal to Lonely Drone's {force:?}.,,lonelyDrone.png,,,,,.b,
1,redImp,Red Imp,rrare,1,2,Monster,{trigger:breach} You gain LVL equal to the damage dealt. You may move Red Imp to an open back zone.,,,redImp.png,,"{background:rgba(135, 49, 44, 1)}",,,.r,
1,greenImp,Green Imp,rrare,1,2,Monster,{trigger:breach} Target card you control gains {force:?} equal to the damage dealt. You may move Green Imp to an open back zone.,,,greenImp.png,,"{background:rgba(35, 132, 74, 1)}",,,.r,
1,blueImp,Blue Imp,rrare,1,2,Monster,{trigger:breach} Target player discards cards from the top of their deck up to the damage dealt (you choose the amount discarded). You may move Blue Imp to an open back zone.,,,blueImp.png,,"{background:rgba(61, 57, 134, 1)}",,,.r,
1,shelledFiend,Shelled Fiend,,2,2,Dark Bug,"If Shelled Fiend enters the discard, give {key:immortal} to a unit you control until the start of your next turn.","{skill:Dig} Search your deck for a Bug, and send it to your discard pile or sacrifice Shelled Fiend.",,shelledFiend.png,,,,,.b,
1,secretWizard,Secret Wizard,rrare,2,2,Dark Wizard,,"{skill:Magician} Create a Magic {force:?} token with {force:?} equal to the number of spells in your discard. If the token has more than {force:3}, it is {key:delayed}.",,secretWizard.png,,"{background:rgba(96, 120, 208, 1)}",,,.r,
1,arbiter,Arbiter,superRare,2,2,Object Monster,"{key:quick}
{trigger:victor} Add 1-3 Soul counters to Arbiter.","{skill: Self Search} Search your deck for a card with LVL equal to the amount of soul counters on Arbiter. Reveal it, then add it to your hand.",,arbiter.png,,"{background:linear-gradient(180deg, rgba(210, 45, 20, 1) 0%, rgba(255, 208, 36, 1) 100%) no-repeat 50% 50% / 100% 100%}",,,.sr,
1,slumberingTitan,Slumbering Titan,superRare,8,2,Golem God,"{key:immortal}
{trigger:enter} Add 2 stun counters to Slumbering Titan.",,,slumberingTitan.png,,"{background:linear-gradient(180deg, rgba(20, 153, 249, 1) 0%, rgba(173, 208, 56, 1) 100%) no-repeat 50% 50% / 100% 100%}",,,.sr,
